,DayOfYear,distanceMeters_x,totalTimeSeconds_x,Year,WeekOfYear,DateTime
0,1,4593,2183,2022,1,2022-01-01T17:26
1,2,8075,2878,2022,1,2022-01-02T09:34
2,3,6463,2278,2022,1,2022-01-03T09:08
3,4,8068,2928,2022,1,2022-01-04T16:59
4,5,7645,2892,2022,1,2022-01-05T17:20
5,6,2423,1089,2022,1,2022-01-06T18:45
6,7,2693,1380,2022,1,2022-01-07T18:47
7,8,8097,2855,2022,2,2022-01-08T17:09
8,9,4162,1915,2022,2,2022-01-09T17:49
9,10,6000,2273,2022,2,2022-01-10T09:41
10,11,8065,3153,2022,2,2022-01-11T16:14
11,12,8096,2956,2022,2,2022-01-12T16:43
12,13,8090,2995,2022,2,2022-01-13T16:38
13,14,8509,3022,2022,2,2022-01-14T16:37
14,15,9727,3431,2022,3,2022-01-15T10:08
15,16,9106,4438,2022,3,2022-01-16T16:13
16,17,8183,2895,2022,3,2022-01-17T16:51
17,18,8191,2940,2022,3,2022-01-18T16:00
18,19,9716,3509,2022,3,2022-01-19T16:41
19,20,9694,4796,2022,3,2022-01-20T16:35
20,21,7227,2649,2022,3,2022-01-21T10:35
21,22,4850,2261,2022,4,2022-01-22T18:28
22,23,5000,2207,2022,4,2022-01-23T07:19
23,24,2569,1094,2022,4,2022-01-24T13:56
24,25,4828,2411,2022,4,2022-01-25T04:25
25,26,4123,1881,2022,4,2022-01-26T16:55
26,27,3124,1281,2022,4,2022-01-27T17:01
27,28,6518,2701,2022,4,2022-01-28T16:40
28,29,7000,2636,2022,5,2022-01-29T16:10
29,30,2903,1094,2022,5,2022-01-30T06:45
30,31,9667,4112,2022,5,2022-01-31T16:10
31,32,9666,4484,2022,5,2022-02-01T15:02
32,33,3244,1400,2022,5,2022-02-02T09:50
33,34,9506,4642,2022,5,2022-02-03T16:00
34,35,4850,2084,2022,5,2022-02-04T09:39
35,36,2844,1499,2022,6,2022-02-05T22:31
36,37,2696,1911,2022,6,2022-02-06T08:09
37,38,5776,2178,2022,6,2022-02-07T17:26
38,39,6803,2838,2022,6,2022-02-08T10:26
39,40,4349,1957,2022,6,2022-02-09T17:59
40,41,7017,2962,2022,6,2022-02-10T17:48
41,42,3436,1552,2022,6,2022-02-11T19:10
42,43,4892,2301,2022,7,2022-02-12T18:04
43,44,6501,2957,2022,7,2022-02-13T16:37
44,45,8203,2939,2022,7,2022-02-14T16:54
45,46,5618,9232,2022,7,2022-02-15T17:22
46,47,8080,2960,2022,7,2022-02-16T17:22
47,48,6518,3222,2022,7,2022-02-17T20:06
48,49,3420,1397,2022,7,2022-02-18T17:55
49,50,8125,3089,2022,8,2022-02-19T17:42
50,51,8114,2890,2022,8,2022-02-20T17:33
51,52,8084,2971,2022,8,2022-02-21T17:25
52,53,3239,1474,2022,8,2022-02-22T23:10
53,54,8103,3708,2022,8,2022-02-23T08:57
54,55,8168,2993,2022,8,2022-02-24T08:45
55,56,6604,2456,2022,8,2022-02-25T08:49
56,57,8073,2814,2022,9,2022-02-26T17:45
57,58,8067,2711,2022,9,2022-02-27T17:22
58,59,8074,2856,2022,9,2022-02-28T17:33
59,60,8084,2887,2022,9,2022-03-01T09:50
60,61,6509,2377,2022,9,2022-03-02T17:30
61,62,8069,2992,2022,9,2022-03-03T09:14
62,63,3318,1224,2022,9,2022-03-04T17:28
63,64,8096,2824,2022,10,2022-03-05T18:15
64,65,8121,2829,2022,10,2022-03-06T17:22
65,66,9718,3350,2022,10,2022-03-07T17:29
66,67,8202,2851,2022,10,2022-03-08T17:48
67,68,8096,2899,2022,10,2022-03-09T07:55
68,69,8442,4083,2022,10,2022-03-10T17:21
69,70,4672,2226,2022,10,2022-03-11T20:08
70,71,8136,3440,2022,11,2022-03-12T17:56
71,72,8617,3620,2022,11,2022-03-13T17:48
72,73,8610,3659,2022,11,2022-03-14T18:17
73,74,8817,3685,2022,11,2022-03-15T16:00
74,75,8928,3704,2022,11,2022-03-16T17:37
75,76,12445,5237,2022,11,2022-03-17T12:21
76,77,8632,3617,2022,11,2022-03-18T15:48
77,78,10194,4682,2022,12,2022-03-19T12:44
78,79,11520,4208,2022,12,2022-03-20T07:40
79,80,3227,1408,2022,12,2022-03-21T19:05
80,81,8463,3650,2022,12,2022-03-22T07:58
81,82,5632,2371,2022,12,2022-03-23T08:32
82,83,4857,2128,2022,12,2022-03-24T08:29
83,84,6688,2816,2022,12,2022-03-25T16:41
84,85,6746,3140,2022,13,2022-03-26T17:08
85,86,5260,2700,2022,13,2022-03-27T17:58
86,87,6872,3517,2022,13,2022-03-28T16:43
87,88,4377,1973,2022,13,2022-03-29T18:09
88,89,4386,2016,2022,13,2022-03-30T16:41
89,90,3632,1676,2022,13,2022-03-31T06:34
90,91,4869,2350,2022,13,2022-04-01T08:46
91,92,3655,1631,2022,14,2022-04-02T07:08
92,93,1634,725,2022,14,2022-04-03T17:27
93,94,8680,3734,2022,14,2022-04-04T18:00
94,95,7000,3048,2022,14,2022-04-05T18:12
95,96,8226,3645,2022,14,2022-04-06T16:08
96,97,8506,4562,2022,14,2022-04-07T15:53
97,98,8502,3905,2022,14,2022-04-08T17:32
98,99,7881,3657,2022,15,2022-04-09T16:42
99,100,8504,4036,2022,15,2022-04-10T17:43
100,101,8059,3653,2022,15,2022-04-11T17:03
101,102,7082,3119,2022,15,2022-04-12T17:56
102,103,8625,3824,2022,15,2022-04-13T17:34
103,104,8500,4719,2022,15,2022-04-14T17:02
104,105,7639,3789,2022,15,2022-04-15T17:34
105,106,538,265,2022,16,2022-04-16T07:49
106,107,5227,2579,2022,16,2022-04-17T15:33
107,108,5154,2361,2022,16,2022-04-18T18:17
108,109,7574,3614,2022,16,2022-04-19T18:10
109,110,9703,4438,2022,16,2022-04-20T19:13
110,111,9814,4368,2022,16,2022-04-21T17:25
111,112,9667,4510,2022,16,2022-04-22T16:45
112,113,9714,4883,2022,17,2022-04-23T16:41
113,114,9760,4587,2022,17,2022-04-24T15:37
114,115,6549,3029,2022,17,2022-04-25T18:00
115,116,10217,4564,2022,17,2022-04-26T10:53
116,117,9832,4536,2022,17,2022-04-27T17:07
117,118,10026,4377,2022,17,2022-04-28T18:06
118,119,9814,4441,2022,17,2022-04-29T16:42
119,120,8730,4039,2022,18,2022-04-30T17:32
120,121,5840,2561,2022,18,2022-05-01T09:46
121,122,10082,5014,2022,18,2022-05-02T06:22
122,123,3632,1717,2022,18,2022-05-03T17:39
123,124,11820,5210,2022,18,2022-05-04T15:28
124,125,8067,3685,2022,18,2022-05-05T16:12
125,126,8273,3735,2022,18,2022-05-06T17:01
126,127,8096,3755,2022,19,2022-05-07T16:37
127,128,10057,4416,2022,19,2022-05-08T16:22
128,129,6601,2903,2022,19,2022-05-09T18:41
129,130,4043,1889,2022,19,2022-05-10T07:28
130,131,9833,4448,2022,19,2022-05-11T15:14
131,132,5000,2186,2022,19,2022-05-12T18:57
132,133,8076,3739,2022,19,2022-05-13T17:56
133,134,6339,2872,2022,20,2022-05-14T16:21
134,135,3280,1395,2022,20,2022-05-15T10:33
135,136,3351,1647,2022,20,2022-05-16T06:41
136,137,4083,3186,2022,20,2022-05-17T17:11
137,138,5014,2555,2022,20,2022-05-18T17:16
138,139,6595,3365,2022,20,2022-05-19T17:28
139,140,8065,3698,2022,20,2022-05-20T16:58
140,141,4303,2094,2022,21,2022-05-21T17:14
141,142,3419,1601,2022,21,2022-05-22T18:24
142,143,3227,1411,2022,21,2022-05-23T21:24
143,144,4124,2045,2022,21,2022-05-24T07:17
144,145,6000,2583,2022,21,2022-05-25T06:52
145,146,9705,3412,2022,21,2022-05-26T09:23
146,147,9533,3494,2022,21,2022-05-27T12:00
147,148,9906,3528,2022,22,2022-05-28T12:23
148,149,11341,4067,2022,22,2022-05-29T11:59
149,150,11696,4311,2022,22,2022-05-30T10:28
150,151,4426,7711,2022,22,2022-05-31T19:26
151,152,8210,2929,2022,22,2022-06-01T07:07
152,153,7052,2935,2022,22,2022-06-02T05:57
153,154,6309,2909,2022,22,2022-06-03T17:33
154,155,8378,3951,2022,23,2022-06-04T17:32
155,156,7038,2560,2022,23,2022-06-05T06:28
156,157,3606,1662,2022,23,2022-06-06T06:47
157,158,12056,4958,2022,23,2022-06-07T17:26
158,159,10829,4176,2022,23,2022-06-08T06:39
159,160,6284,2260,2022,23,2022-06-09T05:54
160,161,5152,6389,2022,23,2022-06-10T06:45
161,162,8565,3968,2022,24,2022-06-11T11:19
162,163,7674,3942,2022,24,2022-06-12T17:22
163,164,6869,3094,2022,24,2022-06-13T17:42
164,165,11455,4380,2022,24,2022-06-14T05:56
165,166,5262,2449,2022,24,2022-06-15T17:55
166,167,6519,2581,2022,24,2022-06-16T17:28
167,168,726,773,2022,24,2022-06-17T13:39
168,169,3456,2302,2022,25,2022-06-18T13:51
169,170,875,684,2022,25,2022-06-19T11:50
170,171,2763,2103,2022,25,2022-06-20T07:46
171,172,1478,1714,2022,25,2022-06-21T15:57
172,173,1719,1367,2022,25,2022-06-22T13:28
173,174,2408,1750,2022,25,2022-06-23T21:50
174,175,2000,1238,2022,25,2022-06-24T21:23
175,176,4547,2461,2022,26,2022-06-25T21:05
176,177,6268,3004,2022,26,2022-06-26T16:42
177,178,5175,2440,2022,26,2022-06-27T18:23
178,179,4828,2275,2022,26,2022-06-28T17:18
179,180,6568,3383,2022,26,2022-06-29T16:13
180,181,4906,1815,2022,26,2022-06-30T07:10
181,182,4854,1787,2022,26,2022-07-01T07:24
182,183,8202,2982,2022,27,2022-07-02T07:06
183,184,9667,3991,2022,27,2022-07-03T07:22
184,185,6480,2299,2022,27,2022-07-04T06:59
185,186,5940,2422,2022,27,2022-07-05T07:12
186,187,9678,3937,2022,27,2022-07-06T07:12
187,188,9675,3930,2022,27,2022-07-07T06:50
188,189,9674,3711,2022,27,2022-07-08T06:48
189,190,11281,4427,2022,28,2022-07-09T06:08
190,191,12882,5437,2022,28,2022-07-10T06:41
191,192,9682,3809,2022,28,2022-07-11T06:21
192,193,8822,4181,2022,28,2022-07-12T07:49
193,194,8167,3207,2022,28,2022-07-13T07:21
194,195,8909,3963,2022,28,2022-07-14T07:20
195,196,3687,1283,2022,28,2022-07-15T22:04
196,197,5365,1784,2022,29,2022-07-16T11:00
197,198,22027,7906,2022,29,2022-07-17T10:15
198,199,3250,1058,2022,29,2022-07-18T10:14
199,200,2725,1231,2022,29,2022-07-19T21:15
200,201,7079,3120,2022,29,2022-07-20T17:06
201,202,8074,2749,2022,29,2022-07-21T07:08
202,203,6468,2161,2022,29,2022-07-22T07:04
203,204,8085,2672,2022,30,2022-07-23T06:01
204,205,6903,3056,2022,30,2022-07-24T15:29
205,206,2850,1320,2022,30,2022-07-25T06:38
206,207,4100,1514,2022,30,2022-07-26T06:34
207,208,5539,2620,2022,30,2022-07-27T17:40
208,209,8085,2783,2022,30,2022-07-28T05:41
209,210,4855,1697,2022,30,2022-07-29T07:09
210,211,5947,2615,2022,31,2022-07-30T17:27
211,212,6312,2833,2022,31,2022-07-31T17:32
212,213,5375,2294,2022,31,2022-08-01T17:54
213,214,6581,2353,2022,31,2022-08-02T06:32
214,215,8523,3463,2022,31,2022-08-03T07:01
215,216,8100,2900,2022,31,2022-08-04T05:41
216,217,3868,1795,2022,31,2022-08-05T17:35
217,218,11290,4279,2022,32,2022-08-06T06:06
218,219,3854,1460,2022,32,2022-08-07T06:50
219,220,2544,1024,2022,32,2022-08-08T18:20
220,221,8076,2976,2022,32,2022-08-09T05:40
221,222,8502,3617,2022,32,2022-08-10T06:59
222,223,9703,3483,2022,32,2022-08-11T05:49
223,224,5344,2190,2022,32,2022-08-12T17:53
224,225,3463,1367,2022,33,2022-08-13T19:16
225,226,6319,2922,2022,33,2022-08-14T12:26
226,227,8350,4035,2022,33,2022-08-15T16:42
227,228,8921,4059,2022,33,2022-08-16T16:12
228,229,10588,4560,2022,33,2022-08-17T16:47
229,230,8833,3764,2022,33,2022-08-18T15:27
230,231,4234,1842,2022,33,2022-08-19T17:14
231,232,5178,1994,2022,34,2022-08-20T07:10
232,233,1632,612,2022,34,2022-08-21T08:45
233,234,5000,2014,2022,34,2022-08-22T21:33
234,235,1772,752,2022,34,2022-08-23T22:39
235,236,2830,1032,2022,34,2022-08-24T11:01
236,237,2412,978,2022,34,2022-08-25T23:54
237,238,1645,541,2022,34,2022-08-26T09:23
238,239,5291,2261,2022,35,2022-08-27T08:45
239,240,6323,2507,2022,35,2022-08-28T17:49
240,241,4755,1721,2022,35,2022-08-29T07:00
241,242,5266,2057,2022,35,2022-08-30T07:13
242,243,6509,2476,2022,35,2022-08-31T07:26
243,244,6678,2487,2022,35,2022-09-01T06:00
244,245,6467,2418,2022,35,2022-09-02T06:32
245,246,12218,4710,2022,36,2022-09-03T06:09
246,247,10838,4688,2022,36,2022-09-04T06:55
247,248,11030,4700,2022,36,2022-09-05T06:38
248,249,6479,2371,2022,36,2022-09-06T06:22
249,250,5000,1993,2022,36,2022-09-07T06:28
250,251,6469,2411,2022,36,2022-09-08T06:08
251,252,3035,1347,2022,36,2022-09-09T08:02
252,253,5620,1811,2022,37,2022-09-10T06:45
253,254,5670,2662,2022,37,2022-09-11T16:07
254,255,8082,2975,2022,37,2022-09-12T06:48
255,256,8069,3117,2022,37,2022-09-13T05:54
256,257,8053,3090,2022,37,2022-09-14T07:12
257,258,8074,3010,2022,37,2022-09-15T06:35
258,259,6448,2340,2022,37,2022-09-16T06:50
259,260,1802,878,2022,38,2022-09-17T06:32
260,261,1661,673,2022,38,2022-09-18T07:47
261,262,6387,3324,2022,38,2022-09-19T17:28
262,263,8358,3187,2022,38,2022-09-20T05:57
263,264,5633,2897,2022,38,2022-09-21T17:19
264,265,8796,3239,2022,38,2022-09-22T05:57
265,266,5363,2537,2022,38,2022-09-23T14:38
266,267,11736,4684,2022,39,2022-09-24T06:06
267,268,4845,1745,2022,39,2022-09-25T07:42
268,269,4853,2092,2022,39,2022-09-26T19:36
269,270,4913,2384,2022,39,2022-09-27T19:05
270,271,6000,3714,2022,39,2022-09-28T11:30
271,272,5340,2062,2022,39,2022-09-29T18:14
272,273,4839,2040,2022,39,2022-09-30T08:33
273,274,4927,1927,2022,40,2022-10-01T10:01
274,275,6694,2882,2022,40,2022-10-02T07:52
275,276,8076,3063,2022,40,2022-10-03T08:08
276,277,6457,2321,2022,40,2022-10-04T08:32
277,278,8089,2921,2022,40,2022-10-05T08:32
278,279,8093,2893,2022,40,2022-10-06T08:05
279,280,9698,3513,2022,40,2022-10-07T08:32
280,281,10026,3579,2022,41,2022-10-08T07:21
281,282,4852,1764,2022,41,2022-10-09T08:27
282,283,6687,3210,2022,41,2022-10-10T17:53
283,284,6329,3075,2022,41,2022-10-11T08:25
284,285,4472,1933,2022,41,2022-10-12T10:23
285,286,6634,2687,2022,41,2022-10-13T06:36
286,287,6693,2384,2022,41,2022-10-14T09:07
287,288,4876,1721,2022,42,2022-10-15T09:35
288,289,5000,1759,2022,42,2022-10-16T10:02
289,290,2514,954,2022,42,2022-10-17T09:30
290,291,6666,2795,2022,42,2022-10-18T16:57
291,292,6492,2297,2022,42,2022-10-19T17:18
292,293,4945,1743,2022,42,2022-10-20T06:20
293,294,8600,3889,2022,42,2022-10-21T16:51
294,295,7313,2676,2022,43,2022-10-22T06:56
295,296,8843,3371,2022,43,2022-10-23T07:38
296,297,7509,3324,2022,43,2022-10-24T09:59
297,298,5807,2214,2022,43,2022-10-25T06:00
298,299,7329,2735,2022,43,2022-10-26T08:02
299,300,7232,2833,2022,43,2022-10-27T08:16
300,301,8259,4200,2022,43,2022-10-28T17:08
301,302,6208,3124,2022,44,2022-10-29T15:37
302,303,9709,3588,2022,44,2022-10-30T07:39
303,304,7135,2676,2022,44,2022-10-31T07:51
304,305,7249,2795,2022,44,2022-11-01T07:56
305,306,4000,1976,2022,44,2022-11-02T17:57
306,307,5108,2013,2022,44,2022-11-03T08:14
307,308,8062,2982,2022,44,2022-11-04T08:25
308,309,5835,2762,2022,45,2022-11-05T16:22
309,310,5277,2503,2022,45,2022-11-06T17:12
310,311,7072,2589,2022,45,2022-11-07T06:53
311,312,5756,2179,2022,45,2022-11-08T05:54
312,313,7314,3466,2022,45,2022-11-09T17:33
313,314,8581,3856,2022,45,2022-11-10T15:00
314,315,5376,2572,2022,45,2022-11-11T16:29
315,316,5678,2157,2022,46,2022-11-12T07:42
316,317,9780,3911,2022,46,2022-11-13T07:55
317,318,8344,3069,2022,46,2022-11-14T07:00
318,319,8437,3065,2022,46,2022-11-15T05:45
319,320,9689,3603,2022,46,2022-11-16T07:21
320,321,4776,2136,2022,46,2022-11-17T16:41
321,322,4868,2099,2022,46,2022-11-18T16:30
322,323,4117,2013,2022,47,2022-11-19T16:52
323,324,3355,1427,2022,47,2022-11-20T14:43
324,325,5290,2266,2022,47,2022-11-21T08:36
325,326,4238,1881,2022,47,2022-11-22T13:33
326,327,2168,1102,2022,47,2022-11-23T08:14
327,328,5699,2819,2022,47,2022-11-24T05:03
328,329,2703,1449,2022,47,2022-11-25T07:58
329,330,3889,1945,2022,48,2022-11-26T10:39
330,331,3686,3975,2022,48,2022-11-27T08:02
331,332,4834,1962,2022,48,2022-11-28T16:48
332,333,8118,3884,2022,48,2022-11-29T05:43
333,334,8054,3157,2022,48,2022-11-30T16:45
334,335,8085,2953,2022,48,2022-12-01T09:02
335,336,8071,2867,2022,48,2022-12-02T09:02
336,337,5000,2172,2022,49,2022-12-03T15:19
337,338,8062,2959,2022,49,2022-12-04T08:41
338,339,8066,2966,2022,49,2022-12-05T10:10
339,340,8072,2913,2022,49,2022-12-06T05:42
340,341,8067,2979,2022,49,2022-12-07T07:55
341,342,7550,2990,2022,49,2022-12-08T07:36
342,343,7190,3465,2022,49,2022-12-09T07:44
343,344,8071,3081,2022,50,2022-12-10T07:06
344,345,10459,3949,2022,50,2022-12-11T10:02
345,346,8120,3149,2022,50,2022-12-12T12:32
346,347,8091,3057,2022,50,2022-12-13T17:50
347,348,8079,2974,2022,50,2022-12-14T17:09
348,349,5662,2800,2022,50,2022-12-15T18:39
349,350,8078,2959,2022,50,2022-12-16T13:18
350,351,8103,2996,2022,51,2022-12-17T16:35
351,352,8086,3027,2022,51,2022-12-18T17:12
352,353,9192,3450,2022,51,2022-12-19T16:48
353,354,7825,4033,2022,51,2022-12-20T15:51
354,355,8067,2975,2022,51,2022-12-21T17:02
355,356,9662,3805,2022,51,2022-12-22T11:11
356,357,9717,3631,2022,51,2022-12-23T14:58
357,358,9785,4323,2022,52,2022-12-24T16:15
358,359,4770,2114,2022,52,2022-12-25T09:33
359,360,1299,868,2022,52,2022-12-26T20:19
360,361,9684,4457,2022,52,2022-12-27T14:25
361,362,5247,2274,2022,52,2022-12-28T05:09
362,363,4840,1929,2022,52,2022-12-29T04:37
363,364,2728,1245,2022,52,2022-12-30T06:09
364,365,4651,2188,2022,53,2022-12-31T17:54
